episode_id,pair_id,order_type,raw_source_episode,clean_source_episode,merged_episode,excluded_raw_episodes
vla_000,L1_M08,pink_then_cyan,0,0,0,
vla_001,L1_M08,cyan_then_pink,0,0,50,"1,3"
vla_002,L5_M08,cyan_then_pink,2,1,51,"1,3"
vla_003,L5_M08,pink_then_cyan,1,1,1,
vla_004,L2_M07,cyan_then_pink,4,2,52,"1,3"
vla_005,L2_M07,pink_then_cyan,2,2,2,
vla_006,L1_M09,pink_then_cyan,3,3,3,
vla_007,L1_M09,cyan_then_pink,5,3,53,"1,3"
vla_008,L4_M01,cyan_then_pink,6,4,54,"1,3"
vla_009,L4_M01,pink_then_cyan,4,4,4,
vla_010,L1_M06,pink_then_cyan,5,5,5,
vla_011,L1_M06,cyan_then_pink,7,5,55,"1,3"
vla_012,L4_M02,pink_then_cyan,6,6,6,
vla_013,L4_M02,cyan_then_pink,8,6,56,"1,3"
vla_014,L2_M03,pink_then_cyan,7,7,7,
vla_015,L2_M03,cyan_then_pink,9,7,57,"1,3"
vla_016,L5_M09,cyan_then_pink,10,8,58,"1,3"
vla_017,L5_M09,pink_then_cyan,8,8,8,
vla_018,L2_M04,cyan_then_pink,11,9,59,"1,3"
vla_019,L2_M04,pink_then_cyan,9,9,9,
vla_020,L5_M05,cyan_then_pink,12,10,60,"1,3"
vla_021,L5_M05,pink_then_cyan,10,10,10,
vla_022,L3_M08,pink_then_cyan,11,11,11,
vla_023,L3_M08,cyan_then_pink,13,11,61,"1,3"
vla_024,L1_M10,cyan_then_pink,14,12,62,"1,3"
vla_025,L1_M10,pink_then_cyan,12,12,12,
vla_026,L3_M03,pink_then_cyan,13,13,13,
vla_027,L3_M03,cyan_then_pink,15,13,63,"1,3"
vla_028,L1_M01,cyan_then_pink,16,14,64,"1,3"
vla_029,L1_M01,pink_then_cyan,14,14,14,
vla_030,L3_M05,cyan_then_pink,17,15,65,"1,3"
vla_031,L3_M05,pink_then_cyan,15,15,15,
vla_032,L2_M05,pink_then_cyan,16,16,16,
vla_033,L2_M05,cyan_then_pink,18,16,66,"1,3"
vla_034,L3_M07,cyan_then_pink,19,17,67,"1,3"
vla_035,L3_M07,pink_then_cyan,17,17,17,
vla_036,L5_M07,pink_then_cyan,18,18,18,
vla_037,L5_M07,cyan_then_pink,20,18,68,"1,3"
vla_038,L3_M09,pink_then_cyan,19,19,19,
vla_039,L3_M09,cyan_then_pink,21,19,69,"1,3"
vla_040,L2_M09,cyan_then_pink,22,20,70,"1,3"
vla_041,L2_M09,pink_then_cyan,20,20,20,
vla_042,L3_M04,pink_then_cyan,21,21,21,
vla_043,L3_M04,cyan_then_pink,23,21,71,"1,3"
vla_044,L1_M02,pink_then_cyan,22,22,22,
vla_045,L1_M02,cyan_then_pink,24,22,72,"1,3"
vla_046,L3_M01,cyan_then_pink,25,23,73,"1,3"
vla_047,L3_M01,pink_then_cyan,23,23,23,
vla_048,L5_M10,cyan_then_pink,26,24,74,"1,3"
vla_049,L5_M10,pink_then_cyan,24,24,24,
vla_050,L2_M01,cyan_then_pink,27,25,75,"1,3"
vla_051,L2_M01,pink_then_cyan,25,25,25,
vla_052,L4_M06,pink_then_cyan,26,26,26,
vla_053,L4_M06,cyan_then_pink,28,26,76,"1,3"
vla_054,L5_M04,pink_then_cyan,27,27,27,
vla_055,L5_M04,cyan_then_pink,29,27,77,"1,3"
vla_056,L1_M07,cyan_then_pink,30,28,78,"1,3"
vla_057,L1_M07,pink_then_cyan,28,28,28,
vla_058,L3_M02,pink_then_cyan,29,29,29,
vla_059,L3_M02,cyan_then_pink,31,29,79,"1,3"
vla_060,L4_M10,cyan_then_pink,32,30,80,"1,3"
vla_061,L4_M10,pink_then_cyan,30,30,30,
vla_062,L2_M08,pink_then_cyan,31,31,31,
vla_063,L2_M08,cyan_then_pink,33,31,81,"1,3"
vla_064,L5_M03,pink_then_cyan,32,32,32,
vla_065,L5_M03,cyan_then_pink,34,32,82,"1,3"
vla_066,L4_M07,pink_then_cyan,33,33,33,
vla_067,L4_M07,cyan_then_pink,35,33,83,"1,3"
vla_068,L1_M04,pink_then_cyan,34,34,34,
vla_069,L1_M04,cyan_then_pink,36,34,84,"1,3"
vla_070,L3_M06,pink_then_cyan,35,35,35,
vla_071,L3_M06,cyan_then_pink,37,35,85,"1,3"
vla_072,L4_M03,cyan_then_pink,38,36,86,"1,3"
vla_073,L4_M03,pink_then_cyan,36,36,36,
vla_074,L1_M05,cyan_then_pink,39,37,87,"1,3"
vla_075,L1_M05,pink_then_cyan,37,37,37,
vla_076,L4_M09,cyan_then_pink,40,38,88,"1,3"
vla_077,L4_M09,pink_then_cyan,38,38,38,
vla_078,L3_M10,cyan_then_pink,41,39,89,"1,3"
vla_079,L3_M10,pink_then_cyan,39,39,39,
vla_080,L2_M06,pink_then_cyan,40,40,40,
vla_081,L2_M06,cyan_then_pink,42,40,90,"1,3"
vla_082,L4_M05,pink_then_cyan,41,41,41,
vla_083,L4_M05,cyan_then_pink,43,41,91,"1,3"
vla_084,L2_M02,cyan_then_pink,44,42,92,"1,3"
vla_085,L2_M02,pink_then_cyan,42,42,42,
vla_086,L4_M08,cyan_then_pink,45,43,93,"1,3"
vla_087,L4_M08,pink_then_cyan,43,43,43,
vla_088,L2_M10,pink_then_cyan,44,44,44,
vla_089,L2_M10,cyan_then_pink,46,44,94,"1,3"
vla_090,L5_M02,pink_then_cyan,45,45,45,
vla_091,L5_M02,cyan_then_pink,47,45,95,"1,3"
vla_092,L1_M03,cyan_then_pink,48,46,96,"1,3"
vla_093,L1_M03,pink_then_cyan,46,46,46,
vla_094,L5_M01,cyan_then_pink,49,47,97,"1,3"
vla_095,L5_M01,pink_then_cyan,47,47,47,
vla_096,L4_M04,pink_then_cyan,48,48,48,
vla_097,L4_M04,cyan_then_pink,50,48,98,"1,3"
vla_098,L5_M06,cyan_then_pink,51,49,99,"1,3"
vla_099,L5_M06,pink_then_cyan,49,49,49,
