episode_id,layout_id,micro_layout_id,repeat_id,order_type,first_color,second_color,task,pair_id,planned_order,status,accepted,notes
vla_000,L1,L1_M08,8,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L1_M08,1,accepted,true,raw_dataset_episode=0; pair_qc=accepted
vla_001,L1,L1_M08,8,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L1_M08,2,accepted,true,raw_dataset_episode=0; pair_qc=accepted
vla_002,L5,L5_M08,8,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L5_M08,3,accepted,true,raw_dataset_episode=1; order_violation; performed_pink_then_cyan_under_cyan_then_pink_label; operator_confirmed_discard; replacement_raw_dataset_episode=2; replacement_individual_qc_passed; pair_qc=accepted
vla_003,L5,L5_M08,8,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L5_M08,4,accepted,true,raw_dataset_episode=1; pair_qc=accepted
vla_004,L2,L2_M07,7,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L2_M07,5,accepted,true,raw_dataset_episode=3; order_violation; performed_pink_then_cyan_under_cyan_then_pink_label; replacement_raw_dataset_episode=4; pair_qc=accepted
vla_005,L2,L2_M07,7,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L2_M07,6,accepted,true,raw_dataset_episode=2; pair_qc=accepted
vla_006,L1,L1_M09,9,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L1_M09,7,accepted,true,raw_dataset_episode=3; pair_qc=accepted
vla_007,L1,L1_M09,9,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L1_M09,8,accepted,true,raw_dataset_episode=5; pair_qc=accepted
vla_008,L4,L4_M01,1,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L4_M01,9,accepted,true,raw_dataset_episode=6; pair_qc=accepted
vla_009,L4,L4_M01,1,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L4_M01,10,accepted,true,raw_dataset_episode=4; pair_qc=accepted
vla_010,L1,L1_M06,6,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L1_M06,11,accepted,true,raw_dataset_episode=5; pair_qc=accepted
vla_011,L1,L1_M06,6,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L1_M06,12,accepted,true,raw_dataset_episode=7; pair_qc=accepted
vla_012,L4,L4_M02,2,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L4_M02,13,accepted,true,raw_dataset_episode=6; pair_qc=accepted
vla_013,L4,L4_M02,2,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L4_M02,14,accepted,true,raw_dataset_episode=8; pair_qc=accepted
vla_014,L2,L2_M03,3,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L2_M03,15,accepted,true,raw_dataset_episode=7; pair_qc=accepted
vla_015,L2,L2_M03,3,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L2_M03,16,accepted,true,raw_dataset_episode=9; pair_qc=accepted
vla_016,L5,L5_M09,9,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L5_M09,17,accepted,true,raw_dataset_episode=10; pair_qc=accepted
vla_017,L5,L5_M09,9,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L5_M09,18,accepted,true,raw_dataset_episode=8; pair_qc=accepted
vla_018,L2,L2_M04,4,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L2_M04,19,accepted,true,raw_dataset_episode=11; pair_qc=accepted
vla_019,L2,L2_M04,4,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L2_M04,20,accepted,true,raw_dataset_episode=9; pair_qc=accepted
vla_020,L5,L5_M05,5,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L5_M05,21,accepted,true,raw_dataset_episode=12; pair_qc=accepted
vla_021,L5,L5_M05,5,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L5_M05,22,accepted,true,raw_dataset_episode=10; pair_qc=accepted
vla_022,L3,L3_M08,8,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L3_M08,23,accepted,true,raw_dataset_episode=11; pair_qc=accepted
vla_023,L3,L3_M08,8,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L3_M08,24,accepted,true,raw_dataset_episode=13; pair_qc=accepted
vla_024,L1,L1_M10,10,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L1_M10,25,accepted,true,raw_dataset_episode=14; pair_qc=accepted
vla_025,L1,L1_M10,10,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L1_M10,26,accepted,true,raw_dataset_episode=12; pair_qc=accepted
vla_026,L3,L3_M03,3,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L3_M03,27,accepted,true,raw_dataset_episode=13; pair_qc=accepted
vla_027,L3,L3_M03,3,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L3_M03,28,accepted,true,raw_dataset_episode=15; pair_qc=accepted
vla_028,L1,L1_M01,1,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L1_M01,29,accepted,true,raw_dataset_episode=16; pair_qc=accepted
vla_029,L1,L1_M01,1,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L1_M01,30,accepted,true,raw_dataset_episode=14; pair_qc=accepted
vla_030,L3,L3_M05,5,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L3_M05,31,accepted,true,raw_dataset_episode=17; pair_qc=accepted
vla_031,L3,L3_M05,5,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L3_M05,32,accepted,true,raw_dataset_episode=15; pair_qc=accepted
vla_032,L2,L2_M05,5,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L2_M05,33,accepted,true,raw_dataset_episode=16; pair_qc=accepted
vla_033,L2,L2_M05,5,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L2_M05,34,accepted,true,raw_dataset_episode=18; pair_qc=accepted
vla_034,L3,L3_M07,7,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",L3_M07,35,accepted,true,raw_dataset_episode=19; pair_qc=accepted
vla_035,L3,L3_M07,7,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L3_M07,36,accepted,true,raw_dataset_episode=17; pair_qc=accepted
vla_036,L5,L5_M07,7,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",L5_M07,37,accepted,true,raw_dataset_episode=18; pair_qc=accepted
