episode_id,pair_id,base_micro_layout_id,layout_id,supplement_repeat_id,order_type,first_color,second_color,task,pair_position,planned_order,pink_x_norm,pink_y_norm,cyan_x_norm,cyan_y_norm,pink_x_offset_mm,pink_y_offset_mm,cyan_x_offset_mm,cyan_y_offset_mm,status,accepted,initial_both_visible,initial_pose_match,smooth_motion_qc,notes
svla_fix_000,recovery_L1_M09_R01,L1_M09,L1,1,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",1,1,-0.88,0.62,-0.42,-0.62,-149.6,124.0,-71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=0; replacement_raw_dataset_episode=1; pair_qc=accepted
svla_fix_001,recovery_L1_M09_R01,L1_M09,L1,1,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,2,-0.88,0.62,-0.42,-0.62,-149.6,124.0,-71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=0; replacement_raw_dataset_episode=1; pair_qc=accepted
svla_fix_002,recovery_L4_M09_R04,L4_M09,L4,4,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",1,3,-0.10,0.34,0.58,0.72,-17.0,68.0,98.6,144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=2; replacement_raw_dataset_episode=21; pair_qc=accepted
svla_fix_003,recovery_L4_M09_R04,L4_M09,L4,4,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,4,-0.10,0.34,0.58,0.72,-17.0,68.0,98.6,144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=2; replacement_raw_dataset_episode=21; pair_qc=accepted
svla_fix_004,recovery_L3_M09_R04,L3_M09,L3,4,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",1,5,-0.10,-0.34,0.58,-0.72,-17.0,-68.0,98.6,-144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=3; replacement_raw_dataset_episode=22; pair_qc=accepted
svla_fix_005,recovery_L3_M09_R04,L3_M09,L3,4,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",2,6,-0.10,-0.34,0.58,-0.72,-17.0,-68.0,98.6,-144.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=3; replacement_raw_dataset_episode=22; pair_qc=accepted
svla_fix_006,recovery_L5_M09_R03,L5_M09,L5,3,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,7,-0.82,0.05,0.78,-0.05,-139.4,10.0,132.6,-10.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=4; replacement_raw_dataset_episode=23; replacement_raw_dataset_episode=24; pair_qc=accepted
svla_fix_007,recovery_L5_M09_R03,L5_M09,L5,3,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",2,8,-0.82,0.05,0.78,-0.05,-139.4,10.0,132.6,-10.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=4; replacement_raw_dataset_episode=23; replacement_raw_dataset_episode=24; pair_qc=accepted
svla_fix_008,recovery_L1_M09_R03,L1_M09,L1,3,pink_then_cyan,pink,cyan,"First pick up the pink cube and place it in the center target area, then pick up the cyan cube and place it in the center target area.",1,9,-0.88,0.62,-0.42,-0.62,-149.6,124.0,-71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=5; replacement_raw_dataset_episode=25; pair_qc=accepted
svla_fix_009,recovery_L1_M09_R03,L1_M09,L1,3,cyan_then_pink,cyan,pink,"First pick up the cyan cube and place it in the center target area, then pick up the pink cube and place it in the center target area.",2,10,-0.88,0.62,-0.42,-0.62,-149.6,124.0,-71.4,-124.0,accepted,true,true,true,true,redo_whole_pair_if_either_take_is_rejected; raw_dataset_episode=5; replacement_raw_dataset_episode=25; pair_qc=accepted
