pair_id,pink_then_cyan_merged_episode,cyan_then_pink_merged_episode,include_in_recovery_v2,status,reason
L1_M08,0,50,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L5_M08,1,51,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L2_M07,2,52,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L1_M09,3,53,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L4_M01,4,54,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L1_M06,5,55,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L4_M02,6,56,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L2_M03,7,57,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L5_M09,8,58,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L2_M04,9,59,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L5_M05,10,60,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L3_M08,11,61,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L1_M10,12,62,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L3_M03,13,63,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L1_M01,14,64,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L3_M05,15,65,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L2_M05,16,66,false,exclude_confirmed_pair_mismatch,confirmed_color_swap_across_instructions
L3_M07,17,67,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L5_M07,18,68,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L3_M09,19,69,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L2_M09,20,70,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L3_M04,21,71,false,exclude_initial_front_visibility_failure,cyan_not_identifiable_in_initial_front_view
L1_M02,22,72,false,exclude_initial_front_visibility_failure,cyan_not_identifiable_in_initial_front_view
L3_M01,23,73,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L5_M10,24,74,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L2_M01,25,75,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L4_M06,26,76,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L5_M04,27,77,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L1_M07,28,78,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L3_M02,29,79,false,exclude_initial_front_visibility_failure,cyan_not_identifiable_in_initial_front_view
L4_M10,30,80,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L2_M08,31,81,false,exclude_confirmed_pair_mismatch,confirmed_color_swap_across_instructions
L5_M03,32,82,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L4_M07,33,83,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L1_M04,34,84,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L3_M06,35,85,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L4_M03,36,86,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L1_M05,37,87,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L4_M09,38,88,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L3_M10,39,89,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L2_M06,40,90,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L4_M05,41,91,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L2_M02,42,92,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L4_M08,43,93,false,exclude_confirmed_pair_mismatch,confirmed_pink_material_shift_across_instructions
L2_M10,44,94,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L5_M02,45,95,false,exclude_initial_front_visibility_failure,cyan_not_identifiable_in_initial_front_view
L1_M03,46,96,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L5_M01,47,97,false,exclude_initial_front_visibility_failure,pink_not_identifiable_in_initial_front_view
L4_M04,48,98,true,retain,operator_order_review_passed; not_excluded_by_frozen_visibility_review
L5_M06,49,99,false,exclude_initial_front_visibility_failure,cyan_not_identifiable_in_initial_front_view
