recovery_v2_episode,source_group,source_episode,pair_id,order_type,source_episode_id
0,clean_v1_retained,0,L1_M08,pink_then_cyan,vla_000
1,clean_v1_retained,1,L5_M08,pink_then_cyan,vla_003
2,clean_v1_retained,2,L2_M07,pink_then_cyan,vla_005
3,clean_v1_retained,3,L1_M09,pink_then_cyan,vla_006
4,clean_v1_retained,4,L4_M01,pink_then_cyan,vla_009
5,clean_v1_retained,5,L1_M06,pink_then_cyan,vla_010
6,clean_v1_retained,6,L4_M02,pink_then_cyan,vla_012
7,clean_v1_retained,7,L2_M03,pink_then_cyan,vla_014
8,clean_v1_retained,8,L5_M09,pink_then_cyan,vla_017
9,clean_v1_retained,9,L2_M04,pink_then_cyan,vla_019
10,clean_v1_retained,10,L5_M05,pink_then_cyan,vla_021
11,clean_v1_retained,11,L3_M08,pink_then_cyan,vla_022
12,clean_v1_retained,12,L1_M10,pink_then_cyan,vla_025
13,clean_v1_retained,13,L3_M03,pink_then_cyan,vla_026
14,clean_v1_retained,14,L1_M01,pink_then_cyan,vla_029
15,clean_v1_retained,15,L3_M05,pink_then_cyan,vla_031
16,clean_v1_retained,17,L3_M07,pink_then_cyan,vla_035
17,clean_v1_retained,18,L5_M07,pink_then_cyan,vla_036
18,clean_v1_retained,19,L3_M09,pink_then_cyan,vla_038
19,clean_v1_retained,20,L2_M09,pink_then_cyan,vla_041
20,clean_v1_retained,23,L3_M01,pink_then_cyan,vla_047
21,clean_v1_retained,24,L5_M10,pink_then_cyan,vla_049
22,clean_v1_retained,25,L2_M01,pink_then_cyan,vla_051
23,clean_v1_retained,26,L4_M06,pink_then_cyan,vla_052
24,clean_v1_retained,27,L5_M04,pink_then_cyan,vla_054
25,clean_v1_retained,28,L1_M07,pink_then_cyan,vla_057
26,clean_v1_retained,30,L4_M10,pink_then_cyan,vla_061
27,clean_v1_retained,32,L5_M03,pink_then_cyan,vla_064
28,clean_v1_retained,33,L4_M07,pink_then_cyan,vla_066
29,clean_v1_retained,34,L1_M04,pink_then_cyan,vla_068
30,clean_v1_retained,35,L3_M06,pink_then_cyan,vla_070
31,clean_v1_retained,36,L4_M03,pink_then_cyan,vla_073
32,clean_v1_retained,37,L1_M05,pink_then_cyan,vla_075
33,clean_v1_retained,38,L4_M09,pink_then_cyan,vla_077
34,clean_v1_retained,39,L3_M10,pink_then_cyan,vla_079
35,clean_v1_retained,40,L2_M06,pink_then_cyan,vla_080
36,clean_v1_retained,41,L4_M05,pink_then_cyan,vla_082
37,clean_v1_retained,42,L2_M02,pink_then_cyan,vla_085
38,clean_v1_retained,44,L2_M10,pink_then_cyan,vla_088
39,clean_v1_retained,46,L1_M03,pink_then_cyan,vla_093
40,clean_v1_retained,48,L4_M04,pink_then_cyan,vla_096
41,clean_v1_retained,50,L1_M08,cyan_then_pink,vla_001
42,clean_v1_retained,51,L5_M08,cyan_then_pink,vla_002
43,clean_v1_retained,52,L2_M07,cyan_then_pink,vla_004
44,clean_v1_retained,53,L1_M09,cyan_then_pink,vla_007
