micro_layout_id,layout_id,repeat_id,geometry_id,coverage_focus,pink_x_norm,pink_y_norm,cyan_x_norm,cyan_y_norm,color_swap_of,physical_status,notes
L1_M01,L1,1,L1_G01,left_workspace,-0.82,-0.62,-0.38,-0.48,L1_M02,planned_unverified,
L1_M02,L1,2,L1_G01,left_workspace,-0.38,-0.48,-0.82,-0.62,L1_M01,planned_unverified,
L1_M03,L1,3,L1_G02,left_workspace,-0.78,-0.18,-0.34,0.08,L1_M04,planned_unverified,
L1_M04,L1,4,L1_G02,left_workspace,-0.34,0.08,-0.78,-0.18,L1_M03,planned_unverified,
L1_M05,L1,5,L1_G03,left_workspace,-0.80,0.30,-0.36,0.58,L1_M06,planned_unverified,
L1_M06,L1,6,L1_G03,left_workspace,-0.36,0.58,-0.80,0.30,L1_M05,planned_unverified,
L1_M07,L1,7,L1_G04,left_workspace,-0.68,-0.68,-0.30,0.62,L1_M08,planned_unverified,
L1_M08,L1,8,L1_G04,left_workspace,-0.30,0.62,-0.68,-0.68,L1_M07,planned_unverified,
L1_M09,L1,9,L1_G05,left_workspace,-0.88,0.62,-0.42,-0.62,L1_M10,planned_unverified,
L1_M10,L1,10,L1_G05,left_workspace,-0.42,-0.62,-0.88,0.62,L1_M09,planned_unverified,
L2_M01,L2,1,L2_G01,right_workspace,0.82,-0.62,0.38,-0.48,L2_M02,planned_unverified,
L2_M02,L2,2,L2_G01,right_workspace,0.38,-0.48,0.82,-0.62,L2_M01,planned_unverified,
L2_M03,L2,3,L2_G02,right_workspace,0.78,-0.18,0.34,0.08,L2_M04,planned_unverified,
L2_M04,L2,4,L2_G02,right_workspace,0.34,0.08,0.78,-0.18,L2_M03,planned_unverified,
L2_M05,L2,5,L2_G03,right_workspace,0.80,0.30,0.36,0.58,L2_M06,planned_unverified,
L2_M06,L2,6,L2_G03,right_workspace,0.36,0.58,0.80,0.30,L2_M05,planned_unverified,
L2_M07,L2,7,L2_G04,right_workspace,0.68,-0.68,0.30,0.62,L2_M08,planned_unverified,
L2_M08,L2,8,L2_G04,right_workspace,0.30,0.62,0.68,-0.68,L2_M07,planned_unverified,
L2_M09,L2,9,L2_G05,right_workspace,0.88,0.62,0.42,-0.62,L2_M10,planned_unverified,
L2_M10,L2,10,L2_G05,right_workspace,0.42,-0.62,0.88,0.62,L2_M09,planned_unverified,
L3_M01,L3,1,L3_G01,near_band,-0.72,-0.72,-0.28,-0.42,L3_M02,planned_unverified,
L3_M02,L3,2,L3_G01,near_band,-0.28,-0.42,-0.72,-0.72,L3_M01,planned_unverified,
