micro_layout_id,layout_id,repeat_id,pink_x_offset_mm,pink_y_offset_mm,cyan_x_offset_mm,cyan_y_offset_mm,target_clearance_status,camera_status,reach_status,physical_status,notes
L1_M01,L1,1,-139.4,-124.0,-64.6,-96.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L1_M02,L1,2,-64.6,-96.0,-139.4,-124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L1_M03,L1,3,-132.6,-36.0,-57.8,16.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L1_M04,L1,4,-57.8,16.0,-132.6,-36.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L1_M05,L1,5,-136.0,60.0,-61.2,116.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L1_M06,L1,6,-61.2,116.0,-136.0,60.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L1_M07,L1,7,-115.6,-136.0,-51.0,124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L1_M08,L1,8,-51.0,124.0,-115.6,-136.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L1_M09,L1,9,-149.6,124.0,-71.4,-124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L1_M10,L1,10,-71.4,-124.0,-149.6,124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L2_M01,L2,1,139.4,-124.0,64.6,-96.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L2_M02,L2,2,64.6,-96.0,139.4,-124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L2_M03,L2,3,132.6,-36.0,57.8,16.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L2_M04,L2,4,57.8,16.0,132.6,-36.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L2_M05,L2,5,136.0,60.0,61.2,116.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L2_M06,L2,6,61.2,116.0,136.0,60.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L2_M07,L2,7,115.6,-136.0,51.0,124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L2_M08,L2,8,51.0,124.0,115.6,-136.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L2_M09,L2,9,149.6,124.0,71.4,-124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L2_M10,L2,10,71.4,-124.0,149.6,124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L3_M01,L3,1,-122.4,-144.0,-47.6,-84.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L3_M02,L3,2,-47.6,-84.0,-122.4,-144.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L3_M03,L3,3,-47.6,-136.0,34.0,-76.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L3_M04,L3,4,34.0,-76.0,-47.6,-136.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L3_M05,L3,5,30.6,-140.0,108.8,-88.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L3_M06,L3,6,108.8,-88.0,30.6,-140.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L3_M07,L3,7,-105.4,-60.0,3.4,-124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L3_M08,L3,8,3.4,-124.0,-105.4,-60.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L3_M09,L3,9,-17.0,-68.0,98.6,-144.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L3_M10,L3,10,98.6,-144.0,-17.0,-68.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L4_M01,L4,1,-122.4,144.0,-47.6,84.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L4_M02,L4,2,-47.6,84.0,-122.4,144.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L4_M03,L4,3,-47.6,136.0,34.0,76.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L4_M04,L4,4,34.0,76.0,-47.6,136.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L4_M05,L4,5,30.6,140.0,108.8,88.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L4_M06,L4,6,108.8,88.0,30.6,140.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L4_M07,L4,7,-105.4,60.0,3.4,124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L4_M08,L4,8,3.4,124.0,-105.4,60.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L4_M09,L4,9,-17.0,68.0,98.6,144.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L4_M10,L4,10,98.6,144.0,-17.0,68.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L5_M01,L5,1,-122.4,-110.0,115.6,-70.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L5_M02,L5,2,115.6,-70.0,-122.4,-110.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L5_M03,L5,3,-122.4,110.0,115.6,70.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L5_M04,L5,4,115.6,70.0,-122.4,110.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L5_M05,L5,5,-105.4,-124.0,98.6,124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L5_M06,L5,6,98.6,124.0,-105.4,-124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L5_M07,L5,7,-105.4,124.0,98.6,-124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L5_M08,L5,8,98.6,-124.0,-105.4,124.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L5_M09,L5,9,-139.4,10.0,132.6,-10.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
L5_M10,L5,10,132.6,-10.0,-139.4,10.0,pending,pending,pending,planned_unverified,origin=safe_workspace_center
